p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.71548249350249e-82	1.96198526484569	0.18	0.068	2.86244400508943e-79	1	Csf1
1.94242140642254e-08	0.857344713771736	0.14	0.105	7.20638341782763e-06	1	Lat2
1.16008578900138e-15	0.832773375217448	0.206	0.151	4.30391827719514e-13	1	Tnf
2.0407849263443e-60	0.745003381560737	0.604	0.452	7.57131207673735e-58	1	Tbx21
1.03537498544646e-19	0.74333698016204	0.136	0.083	3.84124119600635e-17	1	Ifitm2
5.06511814933468e-38	0.614233157608362	0.623	0.513	1.87915883340317e-35	1	Fosb
2.01942891152065e-129	0.608172303287251	0.902	0.71	7.4920812617416e-127	1	Klrc1
3.27312084127417e-12	0.607881273789968	0.273	0.219	1.21432783211272e-09	1	Il12rb2
1.91252854570094e-19	0.591872643293801	0.326	0.251	7.09548090455047e-17	1	Rora
1.21080294946358e-97	0.565977270834898	0.929	0.797	4.4920789425099e-95	1	Cxcr6
1.01455781729117e-48	0.532656289543606	0.647	0.507	3.76400950215023e-46	1	Klrk1
0.000127369911562546	0.514004242384127	0.213	0.186	0.0472542371897047	1	Slamf1
4.43684086158601e-55	0.511519521800311	0.888	0.81	1.64606795964841e-52	1	Rgs1
7.82331677375086e-135	0.497632576306875	0.997	0.972	2.90245052306157e-132	1	Dusp2
3.58321991461339e-91	0.495563325802989	0.949	0.82	1.32937458832157e-88	1	Pdcd1
4.97000123998496e-58	0.487976908427712	0.885	0.797	1.84387046003442e-55	1	Tnfrsf1b
0.0274301692886326	0.441094443444625	0.25	0.235	1	1	Fyb
4.56247960623306e-05	0.429449314274437	0.155	0.131	0.0169267993391247	1	Egr1
1.00540745942143e-70	0.399692086282526	0.975	0.908	3.73006167445349e-68	1	Ctsw
0.00960366660440721	0.395306210179321	0.184	0.165	1	1	Cd37
9.75773517296397e-12	0.395062011503891	0.321	0.265	3.62011974916963e-09	1	Nrp1
1.05832171830722e-71	0.361437275720684	0.996	0.961	3.92637357491979e-69	1	Cd3g
0.0384414851765217	0.354469352296835	0.186	0.173	1	1	Tnfsf10
0.035342766993269	0.349627333876729	0.335	0.326	1	1	Dock8
1.92645265863206e-19	0.315472682273144	0.631	0.537	7.14713936352495e-17	1	Ccr2
3.28388302936631e-16	0.311694812590639	0.592	0.514	1.2183206038949e-13	1	Havcr2
3.05973270596382e-09	0.303646887461417	0.532	0.488	1.13516083391258e-06	1	Cd44
3.67344203776223e-09	0.287970936913508	0.569	0.523	1.36284699600979e-06	1	Ccr5
5.34492145976943e-53	0.277067014525409	0.992	0.963	1.98296586157446e-50	1	Il2rb
6.28140276344389e-07	0.275401358819332	0.548	0.518	0.000233040042523768	1	Ifnar1
1.67409071017954e-14	0.271156216253965	0.653	0.586	6.21087653476609e-12	1	Ltb
4.45617517712948e-51	0.269427751562489	0.993	0.952	1.65324099071504e-48	1	Ctsd
7.45463612873134e-78	0.268095918577123	1	0.986	2.76567000375933e-75	1	Nkg7
1.23430224883791e-34	0.259501198138349	0.722	0.614	4.57926134318865e-32	1	Trbc1
0.0471806064857041	0.257498889374006	0.203	0.189	1	1	Cd86
7.09310172744753e-107	0.816268831470875	0.771	0.519	2.63154074088304e-104	2	Gzmk
1.62934516954157e-257	0.812063164456745	0.999	0.977	6.04487057899922e-255	2	Ccl5
