p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
9.496349661225e-27	1.17315975947442	0.129	0.073	3.52314572431447e-24	1	Csf1
5.27674277109395e-09	0.746881916485848	0.126	0.095	1.95767156807585e-06	1	Lat2
3.71437428932225e-32	0.722369523672321	0.275	0.189	1.37803286133856e-29	1	Cd38
1.98376268915411e-13	0.703213080628025	0.109	0.072	7.35975957676175e-11	1	Ifitm2
6.62273889286968e-104	0.665714878491452	0.677	0.491	2.45703612925465e-101	1	Ccr2
8.54373704575985e-142	0.592655185833692	0.933	0.799	3.1697264439769e-139	1	Cxcr6
5.5028458541824e-08	0.552729189939992	0.184	0.151	2.04155581190167e-05	1	Tnf
1.08621627108264e-39	0.488880434690026	0.598	0.496	4.02986236571661e-37	1	Ccr5
4.65545582155261e-73	0.472101639021354	0.88	0.775	1.72717410979602e-70	1	Tnfrsf1b
6.9743566546441e-61	0.46274988123632	0.869	0.8	2.58748631887296e-58	1	Rgs1
2.95500386052515e-33	0.459522635037038	0.558	0.456	1.09630643225483e-30	1	Tbx21
3.47542333145947e-102	0.456054848984801	0.944	0.823	1.28938205597146e-99	1	Pdcd1
1.7276174903772e-22	0.437947983786357	0.396	0.315	6.40946088929941e-20	1	Lilrb4a
4.82400275905566e-09	0.429079012330256	0.219	0.18	1.78970502360965e-06	1	Slamf1
6.73011910364858e-12	0.427312208424389	0.263	0.214	2.49687418745362e-09	1	Il12rb2
9.1636583982298e-10	0.411918351862903	0.313	0.266	3.39971726574326e-07	1	Entpd1
3.26904926254305e-133	0.407564954616593	0.994	0.942	1.21281727640347e-130	1	Ctsd
2.22925453000018e-43	0.404706738734076	0.617	0.494	8.27053430630065e-41	1	Havcr2
1.30611525359309e-05	0.402337714207611	0.281	0.251	0.00484568759083036	1	Il12rb1
3.44232295401654e-09	0.395969827266985	0.219	0.179	1.27710181594014e-06	1	Cd86
1.24488471738695e-115	0.395532923053162	0.997	0.966	4.61852230150557e-113	1	Cd3g
1.12760458785973e-91	0.390037845101478	0.87	0.699	4.18341302095961e-89	1	Klrc1
1.99147193737986e-83	0.367578247306911	0.976	0.902	7.38836088767928e-81	1	Ctsw
1.88658472991724e-05	0.366037492458633	0.349	0.321	0.00699922934799295	1	Dock8
0.0321317836451786	0.363920304864016	0.244	0.231	1	1	Fyb
3.05840320677651e-101	0.352455312305697	0.992	0.962	1.13466758971408e-98	1	Il2rb
2.18252438430504e-95	0.348486861276246	0.994	0.975	8.09716546577171e-93	1	Dusp2
0.00814607211604158	0.318678250514358	0.19	0.173	1	1	Tnfsf10
4.5072093091718e-124	0.294160529683888	1	0.987	1.67217465370274e-121	1	Nkg7
3.70269396215461e-81	0.285439149759261	0.999	0.987	1.37369945995936e-78	1	Cd52
2.07589025495089e-30	0.270974753745559	0.813	0.716	7.70155284586781e-28	1	Cst7
8.88213377743761e-20	0.26395732295553	0.603	0.514	3.29527163142935e-17	1	Klrk1
3.86505143770223e-53	0.263085831748327	0.79	0.643	1.43393408338753e-50	1	Lgals3
4.21846041580715e-135	2.82458605729914	0.289	0.101	1.56504881426445e-132	2	Gzma
1.76465226062505e-213	2.10036881150681	0.363	0.106	6.54685988691892e-211	2	Itgax
0	1.31536842713251	0.998	0.977	0	2	Ccl5
1.29342652757329e-84	0.941051728669116	0.702	0.514	4.79861241729689e-82	2	Itga4
3.99271487065301e-97	0.808420189250178	0.832	0.676	1.48129721701227e-94	2	Lgals3
2.02195462987091e-15	0.712483349231913	0.181	0.118	7.50145167682108e-13	2	Klrg1
5.1288998095671e-68	0.690070899779173	0.731	0.544	1.90282182934939e-65	2	Gzmk
9.9701187686553e-22	0.387862928893235	0.656	0.548	3.69891406317112e-19	2	Ccr2
2.39244607724742e-276	4.01591257221758	0.165	0.008	8.87597494658792e-274	3	Pask
0	3.76436338777526	0.863	0.149	0	3	Mki67
0	3.70066640170605	0.824	0.182	0	3	Top2a
0	3.30660851892922	0.748	0.13	0	3	Tyms
0	3.2839503031598	0.704	0.166	0	3	Ube2c
1.00003183624799e-188	2.41637915873929	0.102	0.004	3.71011811248006e-186	3	Aurkb
0	2.08161494374489	0.777	0.255	0	3	Mcm2
0	2.02587385705315	0.855	0.343	0	3	Mcm4
0	2.01308049976465	0.904	0.502	0	3	Pcna
1.61550451555791e-105	1.78511963634513	0.298	0.105	5.99352175271983e-103	3	Klrg1
2.11019754503251e-55	1.71228971577672	0.112	0.029	7.82883289207062e-53	3	Ada
7.95781693762761e-215	1.64692661311905	0.481	0.15	2.95235008385984e-212	3	Tmem97
1.31530967703299e-143	1.26665065784746	0.575	0.265	4.87979890179241e-141	3	Tfrc
3.48143480154828e-192	1.01992970347425	0.961	0.784	1.29161231137441e-189	3	Hprt
2.45029831924627e-109	0.871918391382449	0.804	0.544	9.09060676440367e-107	3	Gzmk
1.2394907531962e-35	0.862924344325549	0.2	0.095	4.59851069435791e-33	3	Lap3
5.0131172956991e-143	0.856003922908244	0.947	0.732	1.85986651670437e-140	3	Cd48
8.98540626318669e-139	0.842001419142477	0.887	0.601	3.33358572364226e-136	3	Rpn2
1.2797376695282e-69	0.797963735893537	0.446	0.234	4.74782675394963e-67	3	Pdia4
9.86847290501788e-246	0.766590530708259	1	0.987	3.66120344776163e-243	3	Lgals1
2.70403966318916e-225	0.753589268826563	1	0.997	1.00319871504318e-222	3	Gapdh
6.52455311675726e-91	0.712871128090038	0.629	0.355	2.42060920631694e-88	3	Mapk1
