p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.35156725361534e-64	1.72618195590205	0.155	0.062	2.72743145109129e-61	1	Csf1
1.0474582567403e-38	1.33083400550317	0.138	0.067	3.8860701325065e-36	1	Lat2
9.46656490696772e-32	1.09438273092521	0.128	0.066	3.51209558048503e-29	1	Ifitm2
5.45340312425321e-22	0.862685697035704	0.105	0.057	2.02321255909794e-19	1	Ifitm3
2.09970182344741e-17	0.830234952553548	0.203	0.147	7.7898937649899e-15	1	Tnf
7.51313524185635e-27	0.726224844500118	0.282	0.201	2.78737317472871e-24	1	Il12rb2
2.15551013139338e-60	0.603693641252766	0.59	0.439	7.99694258746946e-58	1	Tbx21
1.60819948781062e-05	0.575975436406332	0.104	0.081	0.0059664200997774	1	Tnfrsf13b
9.31325405672876e-88	0.567122176523753	0.888	0.779	3.45521725504637e-85	1	Tnfrsf1b
4.89835167640595e-129	0.545585448875272	0.89	0.701	1.81728847194661e-126	1	Klrc1
1.55276417071135e-97	0.527405889594876	0.928	0.811	5.76075507333909e-95	1	Cxcr6
2.09315110807143e-100	0.481386933472225	0.946	0.831	7.76559061094501e-98	1	Pdcd1
1.60869449152703e-56	0.463602207018511	0.879	0.799	5.96825656356529e-54	1	Rgs1
9.5863729532803e-43	0.443878188518241	0.63	0.499	3.55654436566699e-40	1	Klrk1
1.15253346555124e-25	0.440919491494132	0.595	0.506	4.27589915719511e-23	1	Fosb
0.000250227158165202	0.433888809508947	0.253	0.226	0.09283427567929	1	Fyb
2.59766498427537e-07	0.432560091008872	0.221	0.185	9.63733709166162e-05	1	Slamf1
1.7792814267656e-35	0.41881251675245	0.605	0.495	6.60113409330037e-33	1	Havcr2
3.41488356460676e-99	0.387636754239121	0.997	0.976	1.26692180246911e-96	1	Dusp2
9.99285644310371e-06	0.383735419695009	0.342	0.311	0.00370734974039148	1	Dock8
5.78364446095902e-104	0.382271863891232	0.992	0.965	2.1457320950158e-101	1	Il2rb
2.14884248037401e-06	0.371669058589667	0.297	0.261	0.000797220560218757	1	Entpd1
1.60415647424083e-96	0.367601837219386	0.994	0.946	5.95142051943347e-94	1	Ctsd
1.64500537914036e-87	0.367477080093741	0.996	0.969	6.10296995661074e-85	1	Cd3g
9.83839148732511e-69	0.36421117366659	0.976	0.909	3.65004324179762e-66	1	Ctsw
7.55345289859523e-14	0.363541609152467	0.388	0.323	2.80233102537883e-11	1	Lilrb4a
2.52254611689928e-19	0.354798825752857	0.586	0.508	9.35864609369631e-17	1	Ccr5
2.12457400058815e-05	0.351576745923172	0.153	0.128	0.00788216954218205	1	Egr1
2.54780789742937e-13	0.344519893372292	0.318	0.256	9.45236729946297e-11	1	Rora
4.20185612513418e-51	0.314976354131957	0.725	0.598	1.55888862242478e-48	1	Trbc1
3.63337309696026e-24	0.294933265939022	0.644	0.541	1.34798141897226e-21	1	Ccr2
1.35488537746557e-06	0.288149784450786	0.244	0.207	0.000502662475039725	1	Cd38
3.06848020754837e-93	0.270595342318096	1	0.988	1.13840615700044e-90	1	Nkg7
2.45427077020784e-22	0.270472678005588	0.804	0.722	9.10534455747108e-20	1	Cst7
0.00150012444050374	0.269939169850248	0.183	0.16	0.556546167426886	1	Cd37
0.00210933656534733	0.260128810943377	0.192	0.17	0.78256386574386	1	Tnfsf10
3.37043712496074e-19	0.259465465375731	0.657	0.579	1.25043217336044e-16	1	Ltb
9.59922120734514e-21	1.299286657518	0.101	0.047	3.56131106792505e-18	2	Maf
1.4806692166874e-42	0.937331557337006	0.343	0.199	5.49328279391025e-40	2	Cd38
7.12542700511027e-126	0.857934083973987	0.821	0.536	2.64353341889591e-123	2	Gzmk
2.34825476962088e-19	0.720137845849029	0.273	0.183	8.71202519529347e-17	2	Cd86
5.47914679321383e-192	0.695027013913599	1	0.977	2.03276346028233e-189	2	Ccl5
1.51876455004367e-15	0.693251046143145	0.186	0.117	5.63461648066201e-13	2	Klrg1
4.22711692353644e-52	0.635069599269398	0.718	0.551	1.56826037863202e-49	2	Ccr2
