"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccl5",2.36484880326022e-122,0.528425269009116,0.997,0.97,8.77358906009543e-120
"Lgals3",3.63239656294603e-104,0.669775138502402,0.818,0.628,1.34761912485298e-101
"Ccr2",3.62305751152306e-103,0.711631336539909,0.705,0.481,1.34415433677505e-100
"Gzmb",3.59522942316841e-85,0.453245685317471,0.938,0.813,1.33383011599548e-82
"Gzmk",2.70225856064843e-42,0.38327044006358,0.68,0.524,1.00253792600057e-39
"Havcr2",1.2224212010633e-31,0.39567629258411,0.625,0.5,4.53518265594484e-29
"Ccr5",1.39623657559623e-17,0.297882716404077,0.596,0.504,5.18003769546201e-15
"Lilrb4a",6.25043177231904e-15,0.37278607964217,0.397,0.319,2.31891018753036e-12
"Itgax",2.09293252072035e-08,0.360529630336798,0.17,0.128,7.76477965187249e-06
"Entpd1",3.81187176187733e-08,0.363270354857393,0.318,0.264,1.41420442365649e-05
"Klrg1",0.0503822004859772,0.369160370293947,0.141,0.128,1
