"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tcf7",4.90513894086055e-161,3.11525897873785,0.248,0.053,1.81980654705926e-158
"Ccr7",3.2339133972755e-96,3.33241828110044,0.192,0.056,1.19978187038921e-93
"Cd9",5.48192230306015e-71,1.97459693890573,0.166,0.054,2.03379317443532e-68
"Xcl1",2.74726500389589e-61,2.34993044138176,0.279,0.15,1.01923531644537e-58
"Cd7",1.59597384950373e-46,1.67196092041726,0.351,0.234,5.92106298165885e-44
"Ptprc",1.4227190546264e-43,0.30131625650937,0.997,0.992,5.27828769266393e-41
"Tnfrsf4",8.09505880249578e-36,1.20198632702089,0.381,0.278,3.00326681572593e-33
"Bcl6",2.79106208071752e-30,1.71265673472586,0.115,0.051,1.0354840319462e-27
"Bcl2a1a",5.52733265207017e-29,0.494854812829956,0.883,0.855,2.05064041391803e-26
"Trbc1",6.15255566865721e-28,0.638389212471729,0.653,0.573,2.28259815307182e-25
"Il7r",4.46960287248086e-27,1.52767691032916,0.192,0.116,1.6582226656904e-24
"Lat",2.20778161528091e-25,0.264435730280814,0.988,0.989,8.19086979269217e-23
"Cd247",1.08698681306522e-23,0.337495747964736,0.854,0.827,4.03272107647197e-21
"Junb",1.85553718112903e-23,0.342475380951216,0.932,0.915,6.88404294198871e-21
"Cd3d",2.75422656182126e-23,0.274394659395812,0.969,0.958,1.02181805443569e-20
"Myc",3.27697571996608e-23,1.78381326002984,0.111,0.056,1.21575799210742e-20
"Cd69",1.69280162845896e-22,0.477707144446471,0.556,0.46,6.28029404158275e-20
"Fas",8.8708030348868e-21,1.2960633143336,0.122,0.067,3.291067925943e-18
"Tnfrsf18",4.68003445741008e-20,0.564259412218268,0.663,0.601,1.73629278369914e-17
"Fyn",7.74187878855291e-18,0.303643258616916,0.91,0.885,2.87223703055313e-15
"Jak2",1.08998920369262e-17,0.71642809062679,0.344,0.27,4.04385994569961e-15
"Ighm",1.596442064843e-16,0.795682529054703,0.188,0.129,5.92280006056754e-14
"Stat4",4.87249761149362e-16,0.404282523317148,0.65,0.587,1.80769661386413e-13
"Cd160",9.99779050335227e-16,0.697022946728932,0.37,0.302,3.70918027674369e-13
"Cd27",2.434256958988e-15,0.397360762377984,0.651,0.586,9.03109331784549e-13
"Irf8",3.53172242561489e-15,0.772689508556013,0.368,0.306,1.31026901990312e-12
"Nfkb1",1.71975267018081e-14,0.458725637977619,0.423,0.351,6.38028240637082e-12
"Bin2",1.71287287991605e-13,0.27976337391239,0.805,0.773,6.35475838448856e-11
"Stat5a",9.18126059678493e-13,0.827900071012934,0.221,0.167,3.40624768140721e-10
"H2-DMa",1.3719798101298e-12,0.958559440783479,0.148,0.102,5.09004509558156e-10
"Hif1a",2.24871656465676e-12,0.333575355962134,0.874,0.864,8.34273845487658e-10
"Tfrc",2.67553091159288e-12,0.580352312537622,0.329,0.271,9.92621968200958e-10
"Stat3",8.75270299824312e-12,0.305904617467531,0.791,0.769,3.2472528123482e-09
"Cd28",9.65042199154081e-12,0.408480129295791,0.635,0.581,3.58030655886164e-09
"Icos",9.91325199749129e-12,0.358229429989114,0.829,0.818,3.67781649106927e-09
"Dusp1",2.07011069864951e-11,0.329034053012581,0.796,0.764,7.6801106919897e-09
"Ybx3",2.15967391765581e-11,0.321713869732051,0.794,0.783,8.01239023450307e-09
"Fosb",1.83783011996264e-10,0.311672365008226,0.568,0.511,6.81834974506138e-08
"Mapk1",3.14736120822827e-10,0.385983585935183,0.421,0.364,1.16767100825269e-07
"Mcm2",3.84305215033888e-09,0.460360876202349,0.343,0.297,1.42577234777572e-06
"Pcna",7.48679439923481e-09,0.355488420621093,0.579,0.534,2.77760072211611e-06
"Mcm4",8.67391419422928e-09,0.411192602757071,0.433,0.384,3.21802216605906e-06
"Lap3",1.81593861439252e-08,0.681482577059071,0.12,0.086,6.73713225939626e-06
"Nfkb2",2.34837267454334e-08,0.273517474200263,0.509,0.45,8.71246262255581e-06
"Tnfsf14",3.56997851311382e-08,0.550155183129713,0.138,0.102,1.32446202836523e-05
"Cxcr4",5.05749773654242e-08,0.383583009012907,0.283,0.235,1.87633166025724e-05
"Mbp",2.51291020020544e-07,0.365394992841985,0.418,0.37,9.32289684276219e-05
"Tgfb1",3.86815756412906e-07,0.574669647190815,0.192,0.153,0.000143508645629188
"Lta",9.52466859017028e-07,0.77831125195667,0.101,0.074,0.000353365204695317
"Trib2",9.84109199399635e-07,0.678861010869849,0.142,0.11,0.000365104512977265
"Bax",1.09907771308862e-06,0.291805168310612,0.644,0.612,0.000407757831555879
"Cd274",4.39309149378928e-06,0.578069021154414,0.201,0.166,0.00162983694419582
"Mapk8",5.08577244238962e-06,0.605184880151296,0.11,0.083,0.00188682157612655
"Nrp1",1.2993530328064e-05,0.36090369837229,0.294,0.256,0.00482059975171173
"Atf6b",1.43932601386945e-05,0.300008178477396,0.384,0.346,0.00533989951145564
"Birc3",1.64334413032881e-05,0.355244298035723,0.361,0.322,0.00609680672351988
"Tyms",2.38564965457198e-05,0.2546567337501,0.228,0.193,0.00885076021846204
"Ikbkb",2.6780936082478e-05,0.266691041205537,0.38,0.339,0.00993572728659932
"Lamp1",2.77994318989339e-05,0.27300947066206,0.554,0.524,0.0103135892345045
"Ccnd2",0.000120263968739809,0.348768552710689,0.163,0.136,0.0446179324024692
"Eomes",0.000194474902314303,0.432722529430185,0.335,0.304,0.0721501887586066
"Tmem97",0.000235978312178597,0.367243605205884,0.206,0.178,0.0875479538182593
"Tnfsf10",0.000342107860003243,0.27005825850609,0.199,0.171,0.126922016061203
"Cxcr3",0.000734590376484645,0.343282186419957,0.61,0.618,0.272533029675803
"Tnfrsf9",0.000771247231785205,0.525463891891233,0.497,0.498,0.286132722992311
"Rora",0.0011709383326612,0.322304651040206,0.301,0.272,0.434418121417306
"Top2a",0.00120668956237108,0.25569922637419,0.285,0.257,0.44768182763967
"Pdia4",0.00172320566747764,0.307207008528732,0.275,0.25,0.639309302634205
"Arl4c",0.00185961434259523,0.435193148297357,0.25,0.225,0.689916921102829
"Cd37",0.0382060751129711,0.363852768576095,0.178,0.163,1
"Ccl3",0.264783355435196,0.500169612731945,0.174,0.166,1
"Cd72",0.531626091868978,0.310787120543269,0.112,0.109,1
