	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_586630	1.77586553088544	-0.482940257494041	-0.238012683081989	-0.527456295154707	-0.527456295154707	mouseSampleTag5
Aoki_125290	1.77577104437399	-0.489384340354209	-0.236366796850958	-0.52500995358441	-0.52500995358441	mouseSampleTag5
Aoki_857088	1.77496024557794	-0.490563200259323	-0.229853168446327	-0.527271938436144	-0.527271938436144	mouseSampleTag5
Aoki_203739	1.77676833704471	-0.501553588095702	-0.243447937744307	-0.515883405602349	-0.515883405602349	mouseSampleTag5
Aoki_504628	1.77738302695831	-0.49872140129573	-0.248842060687126	-0.514909782487728	-0.514909782487728	mouseSampleTag5
Aoki_145123	1.77535675232773	-0.498271351110643	-0.232157847134359	-0.522463777041363	-0.522463777041363	mouseSampleTag5
Aoki_184218	1.77627398040821	-0.498618393491954	-0.23952381801719	-0.519065884449533	-0.519065884449533	mouseSampleTag5
Aoki_648115	1.77702788030577	-0.510535983075779	-0.245419931078429	-0.510535983075779	-0.510535983075779	mouseSampleTag5
Aoki_724744	1.77711406512984	-0.51031638382646	-0.246164913650463	-0.51031638382646	-0.51031638382646	mouseSampleTag5
Aoki_425008	1.77664967051134	-0.511489316251851	-0.242181721755787	-0.511489316251851	-0.511489316251851	mouseSampleTag5
Aoki_159917	1.77616315954343	-0.512691802472994	-0.238087752124449	-0.512691802472994	-0.512691802472994	mouseSampleTag5
Aoki_870280	1.77640070887169	-0.512107929165891	-0.240076921374017	-0.512107929165891	-0.512107929165891	mouseSampleTag5
Aoki_509489	1.7738393849032	-0.518107516265244	-0.219516836107465	-0.518107516265244	-0.518107516265244	mouseSampleTag5
Aoki_698919	1.77516116629125	-0.515089860362054	-0.229891585205084	-0.515089860362054	-0.515089860362054	mouseSampleTag5
Aoki_855520	1.77584940365453	-0.513453728930872	-0.235488216861913	-0.513453728930872	-0.513453728930872	mouseSampleTag5
Aoki_660825	1.77552550457677	-0.514229604176104	-0.232836692048457	-0.514229604176104	-0.514229604176104	mouseSampleTag5
Aoki_11277	1.77563641357337	-0.51396512769437	-0.233741030490257	-0.51396512769437	-0.51396512769437	mouseSampleTag5
Aoki_544403	1.77559119973986	-0.514073094886216	-0.233371915081216	-0.514073094886216	-0.514073094886216	mouseSampleTag5
Aoki_352462	1.78136334533656	-0.476452399984159	-0.28859131539302	-0.508159814979692	-0.508159814979692	mouseSampleTag5
Aoki_747826	1.7803261721367	-0.47668166133886	-0.278093751549455	-0.512775379624192	-0.512775379624192	mouseSampleTag5
Aoki_355164	1.78030754002316	-0.468316271905751	-0.279403780383292	-0.516293743867056	-0.516293743867056	mouseSampleTag5
Aoki_394535	1.78089039845661	-0.470644872261633	-0.284706818701358	-0.512769353746809	-0.512769353746809	mouseSampleTag5
Aoki_373281	1.77788298756082	-0.468546046742855	-0.257295288438227	-0.526020826189869	-0.526020826189869	mouseSampleTag5
Aoki_46850	1.77789825496622	-0.475608632827758	-0.256042609947839	-0.523123506095309	-0.523123506095309	mouseSampleTag5
Aoki_525000	1.77866636436868	-0.474348950773447	-0.263001825612099	-0.520657793991568	-0.520657793991568	mouseSampleTag5
Aoki_369266	1.77794261062172	-0.491825501352206	-0.254231235100955	-0.515942937084281	-0.515942937084281	mouseSampleTag5
Aoki_688800	1.77764939513355	-0.487107228189758	-0.252186687445819	-0.519177739748985	-0.519177739748985	mouseSampleTag5
Aoki_237525	1.77933696329815	-0.478212152844337	-0.26845186912527	-0.516336470664269	-0.516336470664269	mouseSampleTag5
Aoki_562267	1.77951022297167	-0.486692637095453	-0.268976497488996	-0.511920544193608	-0.511920544193608	mouseSampleTag5
Aoki_596606	1.7784597825555	-0.506764632076019	-0.258165886327437	-0.506764632076019	-0.506764632076019	mouseSampleTag5
Aoki_693232	1.77824412499659	-0.507350222127497	-0.2561934586141	-0.507350222127497	-0.507350222127497	mouseSampleTag5
Aoki_191368	1.77958328154034	-0.503600008252205	-0.268783256783724	-0.503600008252205	-0.503600008252205	mouseSampleTag5
Aoki_434163	1.77960790355683	-0.503528361443252	-0.269022819227075	-0.503528361443252	-0.503528361443252	mouseSampleTag5
Aoki_849290	1.7790726524502	-0.50506300923681	-0.263883624739766	-0.50506300923681	-0.50506300923681	mouseSampleTag5
Aoki_279694	1.779201545389	-0.504697747242598	-0.26510830366121	-0.504697747242598	-0.504697747242598	mouseSampleTag5
Aoki_796186	1.77928760652914	-0.50445237242587	-0.265930489251524	-0.50445237242587	-0.50445237242587	mouseSampleTag5
Aoki_434094	1.78239038328121	-0.494634700804971	-0.298486280866296	-0.494634700804971	-0.494634700804971	mouseSampleTag5
Aoki_697904	1.78254238602615	-0.494093742128328	-0.300261159641172	-0.494093742128328	-0.494093742128328	mouseSampleTag5
Aoki_491392	1.7824673535127	-0.486219625549183	-0.299632454620372	-0.498307636671572	-0.498307636671572	mouseSampleTag5
Aoki_720659	1.78302591129854	-0.482921540076456	-0.306399377600504	-0.496852496810789	-0.496852496810789	mouseSampleTag5
Aoki_798761	1.78287092364735	-0.483372871164198	-0.30452299488406	-0.497487528799547	-0.497487528799547	mouseSampleTag5
Aoki_678627	1.78044327283091	-0.486688288200345	-0.278014860899084	-0.507870061865742	-0.507870061865742	mouseSampleTag5
Aoki_797192	1.78038642091675	-0.484907833365237	-0.277625039157615	-0.508926774196948	-0.508926774196948	mouseSampleTag5
Aoki_225469	1.78068438993159	-0.491081256904086	-0.280104440775397	-0.504749346126055	-0.504749346126055	mouseSampleTag5
Aoki_398824	1.78071975595546	-0.49226549806773	-0.280397816159179	-0.504028220864276	-0.504028220864276	mouseSampleTag5
Aoki_230805	1.78020345722784	-0.492289787826455	-0.275206732416934	-0.506353468492227	-0.506353468492227	mouseSampleTag5
Aoki_862810	1.78022045271565	-0.493560816096757	-0.275303009720592	-0.505678313449153	-0.505678313449153	mouseSampleTag5
Aoki_694389	1.7813146410632	-0.498281223091227	-0.286470971789517	-0.498281223091227	-0.498281223091227	mouseSampleTag5
Aoki_298951	1.78159554014656	-0.497357734268783	-0.289522337340214	-0.497357734268783	-0.497357734268783	mouseSampleTag5
Aoki_572356	1.78162130542176	-0.49727206672928	-0.289805105233917	-0.49727206672928	-0.49727206672928	mouseSampleTag5
Aoki_150735	1.78085996441604	-0.499737336618744	-0.281647954559807	-0.499737336618744	-0.499737336618744	mouseSampleTag5
Aoki_325084	1.78051743717454	-0.500804810120108	-0.278103006814212	-0.500804810120108	-0.500804810120108	mouseSampleTag5
Aoki_766710	1.7804922985036	-0.500882205949612	-0.277845680654768	-0.500882205949612	-0.500882205949612	mouseSampleTag5
Aoki_834599	1.75655820288586	-0.548352301748606	-0.111501297640043	-0.548352301748606	-0.548352301748606	mouseSampleTag5
Aoki_86937	1.75709495919288	-0.547583338662501	-0.114344943205381	-0.547583338662501	-0.547583338662501	mouseSampleTag5
